timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749982323649,1388,HTTP Request,200,OK,Thread Group 1-1,text,true,,21142,117,5,5,https://www.google.com/,1355,0,786
1749982324129,1089,HTTP Request,200,OK,Thread Group 1-4,text,true,,21235,117,5,5,https://www.google.com/,876,0,306
1749982324330,705,HTTP Request,200,OK,Thread Group 1-5,text,true,,20793,117,5,5,https://www.google.com/,675,0,146
1749982323933,1104,HTTP Request,200,OK,Thread Group 1-3,text,true,,21213,117,5,5,https://www.google.com/,1072,0,503
1749982323734,1301,HTTP Request,200,OK,Thread Group 1-2,text,true,,20804,117,5,5,https://www.google.com/,1271,0,701
